c minisat_input_format
p cnf 4500 9000
-3215 -2903 1211 0
-3066 -2913 2969 0
-2532 -1519 4334 0
-3442 1200 2226 0
-4392 -1342 -225 0
-4137 -3243 -1695 0
-2814 58 3850 0
-3253 1685 3228 0
-250 -209 4097 0
-3830 -1995 1449 0
-2719 93 1136 0
2075 4046 4189 0
-3826 -999 1952 0
-3828 2623 3448 0
-4146 -3572 -271 0
-2541 -73 1640 0
-834 1622 3603 0
-3938 -2861 -1783 0
-1933 1673 2262 0
-3115 -491 2503 0
-2135 1006 2086 0
-2133 911 4316 0
-1421 700 4253 0
3871 3915 4347 0
-720 -686 3822 0
-3208 -3059 -2107 0
-3636 -2754 -2203 0
-4476 8 122 0
1390 2659 3295 0
-4147 204 3233 0
-1804 -1757 3702 0
-3480 2255 3968 0
-4055 -1176 1424 0
-2655 -2296 -1165 0
-1405 1523 3869 0
-3917 -2116 2304 0
-3237 -1771 -1052 0
-3298 -867 -588 0
-4114 -781 3057 0
-2472 -2463 -1289 0
-1190 -1164 -486 0
-4331 -70 2475 0
-816 2090 2459 0
-181 1459 2224 0
-1581 -1362 1567 0
-4119 1357 4056 0
-2046 -701 828 0
-2439 2619 3841 0
-2904 2223 4473 0
1756 2325 4226 0
-3842 -1366 -1172 0
-2062 2359 3897 0
-3459 -2618 3425 0
-3296 -2535 -1006 0
-4027 2226 2820 0
-2208 -1672 4099 0
-1869 3181 4255 0
-525 -451 144 0
-4433 -2235 3073 0
-3578 2074 3344 0
-3931 -1272 3746 0
-260 1614 4170 0
-165 1000 1012 0
-4049 -1446 2257 0
-1481 -25 449 0
-572 1733 2645 0
-1451 218 3013 0
-354 1115 3576 0
42 914 2248 0
-3629 -2098 603 0
-2371 1139 3824 0
-3820 -216 4432 0
-3435 -1821 2576 0
-3734 719 2745 0
-2731 -586 2259 0
227 2661 3736 0
-3727 -2778 3865 0
-1411 2233 3780 0
-2334 3253 3747 0
-1435 -360 2082 0
815 3015 4103 0
-4226 -2315 3038 0
-4005 -1588 2105 0
-4247 -3663 -1400 0
-979 1525 3256 0
-4334 2647 3720 0
-4402 -4161 4171 0
-2114 1989 2548 0
-1251 -611 3563 0
-3606 1846 2676 0
-3699 -3010 1028 0
-4054 -2870 -2590 0
-4007 -1975 2491 0
-2586 4105 4362 0
910 962 3392 0
-2765 -1458 3903 0
-128 828 3302 0
-1572 -94 1669 0
-2939 -1131 2341 0
-552 -470 459 0
-879 -579 1903 0
-3406 -3115 -2494 0
-1923 -711 4470 0
-3413 1030 2438 0
-3028 -2523 -2021 0
-3915 3761 4118 0
-2966 2250 2577 0
-2885 1663 3270 0
-1429 821 2832 0
-1935 4325 4351 0
-2469 -1723 -186 0
-2932 1408 3183 0
-3406 -1399 188 0
-1825 1608 2517 0
2377 2863 4147 0
-2707 767 2371 0
1842 4342 4423 0
423 492 2260 0
-1129 -475 3743 0
632 637 2514 0
-1434 -1157 695 0
-1761 3499 3700 0
1620 2775 3271 0
2914 2960 3728 0
-3147 3323 4395 0
-3638 2183 3504 0
-1431 1938 2060 0
-3695 -1654 -929 0
767 863 2351 0
91 975 3202 0
-1201 -1079 1506 0
2919 3465 3631 0
-1455 -305 2452 0
-2586 -1046 486 0
-4334 -833 694 0
-2087 -460 1579 0
-4013 2592 4477 0
-987 -589 -302 0
-2765 385 3683 0
-1750 -735 96 0
-2044 -1292 3790 0
-3944 2055 2169 0
-1816 -120 3631 0
-3681 -1563 -1462 0
-1649 482 1125 0
-533 -140 17 0
-3893 17 3170 0
-3533 -2258 -2112 0
-2026 -995 -812 0
-1297 -1122 895 0
-615 1802 2796 0
-1113 716 808 0
-2494 1 3240 0
-783 1447 2805 0
-3240 3428 3863 0
-3883 -3184 3977 0
-3882 -313 4101 0
-2926 -2553 309 0
-4287 -2320 -757 0
-2062 -464 958 0
1992 2654 4228 0
824 2717 2889 0
-4243 -802 418 0
-3597 -3429 3009 0
-4327 -4151 1366 0
-2109 4079 4473 0
-487 2426 2931 0
-2606 1590 3240 0
-4207 -2283 3967 0
-4068 -2742 1183 0
-4196 -2243 72 0
-4436 -489 2145 0
-3030 -632 232 0
-3372 -3118 -2201 0
-3849 1596 2469 0
-2497 -892 4054 0
-1673 -388 4002 0
-4358 -1436 3732 0
1169 2478 2538 0
-3368 -2809 -90 0
-3812 -2742 642 0
-2834 40 3219 0
-521 1455 3355 0
-2604 1232 3985 0
-3792 2326 3318 0
-1626 -849 146 0
-3307 2824 4062 0
-2633 2115 3565 0
-3124 -1332 2810 0
-3202 -1647 1851 0
-2021 1475 1793 0
-4340 -3069 42 0
460 708 2678 0
-1243 2410 3098 0
-4074 -1401 4349 0
-3919 -2059 2486 0
-4056 -2571 1456 0
-2030 -1507 622 0
-4163 -41 2523 0
-1894 -491 3632 0
631 1310 2959 0
110 1673 2886 0
-169 -87 541 0
-474 -349 590 0
2574 3493 3685 0
-2997 -1596 855 0
-3883 145 1368 0
-2866 -1442 1335 0
776 3534 4275 0
-1146 -1052 1611 0
-4424 -2079 2512 0
-3179 1385 3959 0
-300 3143 3431 0
-1651 364 1985 0
-1899 1503 3107 0
-3340 -1074 3955 0
-3909 -2447 611 0
-1982 -974 3379 0
-4226 -3833 -1697 0
-179 346 3988 0
-2081 472 3800 0
-2867 1340 2817 0
-1901 2352 4244 0
-2957 3131 3438 0
-4238 -639 4358 0
-2386 1158 3011 0
-3580 -1819 -1546 0
-3184 -2095 3050 0
-3931 -1818 -1615 0
-4046 -956 550 0
-3566 -494 2498 0
2044 2720 3530 0
-3206 -1194 1698 0
2100 3446 3803 0
-4424 -4072 -2521 0
-243 989 2507 0
-3507 121 896 0
2443 3030 3199 0
-2561 -1422 465 0
-3751 -2578 -1340 0
-1572 -228 514 0
-175 594 1086 0
-656 2026 4015 0
-3177 -2636 1893 0
673 1156 1513 0
1013 1283 3239 0
-3190 -2544 -1334 0
-3257 -669 2832 0
-3747 -2255 1012 0
-2556 1045 3942 0
-4166 -1274 3286 0
-3510 1924 3665 0
438 689 2994 0
-2321 -1783 -1360 0
4199 4329 4459 0
-2146 296 2218 0
-859 883 1231 0
-3203 1891 3014 0
2303 3335 3579 0
-986 2443 3623 0
-4392 -1249 3925 0
-4037 825 3654 0
-3724 -3406 -2198 0
-2735 -2373 -749 0
-1468 1156 1576 0
-2882 1858 3883 0
-4474 -3341 -828 0
-4480 1935 2646 0
-1659 -1356 228 0
-1871 1938 2544 0
2428 3275 3709 0
-4393 -3964 -989 0
-3766 2141 3217 0
-698 29 2897 0
-2255 -245 1903 0
-4342 -2478 3882 0
378 698 3243 0
-4096 -3505 2689 0
-2753 2229 2584 0
554 2583 4390 0
-1065 1611 3734 0
